date,cohort,action,symbol
2026-01-07,sp500,add,TDY
2026-01-07,sp500,add,RTX
2026-01-07,sp500,add,APP
2026-01-07,sp500,add,Q
2026-01-07,sp500,add,GM
2026-01-07,sp500,add,FTV
2026-01-07,sp500,add,SO
2026-01-07,sp500,add,D
2026-01-07,sp500,add,KDP
2026-01-07,sp500,add,SMCI
2026-01-07,sp500,add,JKHY
2026-01-07,sp500,add,HWM
2026-01-07,sp500,add,CBRE
2026-01-07,sp500,add,HCA
2026-01-07,sp500,add,ADP
2026-01-07,sp500,add,GEN
2026-01-07,sp500,add,AKAM
2026-01-07,sp500,add,PCAR
2026-01-07,sp500,add,ON
2026-01-07,sp500,add,CMCSA
2026-01-07,sp500,add,FRT
2026-01-07,sp500,add,DGX
2026-01-07,sp500,add,PFG
2026-01-07,sp500,add,WM
2026-01-07,sp500,add,VLTO
2026-01-07,sp500,add,WTW
2026-01-07,sp500,add,FFIV
2026-01-07,sp500,add,UPS
2026-01-07,sp500,add,MAR
2026-01-07,sp500,add,HD
2026-01-07,sp500,add,LVS
2026-01-07,sp500,add,MSFT
2026-01-07,sp500,add,MNST
2026-01-07,sp500,add,BF.B
2026-01-07,sp500,add,F
2026-01-07,sp500,add,UBER
2026-01-07,sp500,add,LII
2026-01-07,sp500,add,ROK
2026-01-07,sp500,add,TROW
2026-01-07,sp500,add,AMCR
2026-01-07,sp500,add,SCHW
2026-01-07,sp500,add,ATO
2026-01-07,sp500,add,-
2026-01-07,sp500,add,AAPL
2026-01-07,sp500,add,HLT
2026-01-07,sp500,add,WAT
2026-01-07,sp500,add,LUV
2026-01-07,sp500,add,CTSH
2026-01-07,sp500,add,GEHC
2026-01-07,sp500,add,NFLX
2026-01-07,sp500,add,PSX
2026-01-07,sp500,add,WY
2026-01-07,sp500,add,A
2026-01-07,sp500,add,FCX
2026-01-07,sp500,add,NTAP
2026-01-07,sp500,add,OTIS
2026-01-07,sp500,add,COR
2026-01-07,sp500,add,CTAS
2026-01-07,sp500,add,HPQ
2026-01-07,sp500,add,AME
2026-01-07,sp500,add,BRO
2026-01-07,sp500,add,PNC
2026-01-07,sp500,add,IEX
2026-01-07,sp500,add,CSGP
2026-01-07,sp500,add,RSG
2026-01-07,sp500,add,TMO
2026-01-07,sp500,add,WELL
2026-01-07,sp500,add,BMY
2026-01-07,sp500,add,FIS
2026-01-07,sp500,add,EXE
2026-01-07,sp500,add,NOC
2026-01-07,sp500,add,PSKY
2026-01-07,sp500,add,GS
2026-01-07,sp500,add,UAL
2026-01-07,sp500,add,PPL
2026-01-07,sp500,add,GNRC
2026-01-07,sp500,add,CAG
2026-01-07,sp500,add,ABNB
2026-01-07,sp500,add,RVTY
2026-01-07,sp500,add,C
2026-01-07,sp500,add,BAX
2026-01-07,sp500,add,DOC
2026-01-07,sp500,add,IBM
2026-01-07,sp500,add,SWK
2026-01-07,sp500,add,META
2026-01-07,sp500,add,AIG
2026-01-07,sp500,add,DVN
2026-01-07,sp500,add,KO
2026-01-07,sp500,add,DIS
2026-01-07,sp500,add,GEV
2026-01-07,sp500,add,SW
2026-01-07,sp500,add,CPAY
2026-01-07,sp500,add,EPAM
2026-01-07,sp500,add,DTE
2026-01-07,sp500,add,ADSK
2026-01-07,sp500,add,PAYC
2026-01-07,sp500,add,ULTA
2026-01-07,sp500,add,HRL
2026-01-07,sp500,add,MTB
2026-01-07,sp500,add,KVUE
2026-01-07,sp500,add,ELV
2026-01-07,sp500,add,AWK
2026-01-07,sp500,add,CDNS
2026-01-07,sp500,add,PAYX
2026-01-07,sp500,add,ES
2026-01-07,sp500,add,CNC
2026-01-07,sp500,add,DRI
2026-01-07,sp500,add,O
2026-01-07,sp500,add,GIS
2026-01-07,sp500,add,BIIB
2026-01-07,sp500,add,VRSK
2026-01-07,sp500,add,TEL
2026-01-07,sp500,add,TTD
2026-01-07,sp500,add,SPGI
2026-01-07,sp500,add,CSCO
2026-01-07,sp500,add,NOW
2026-01-07,sp500,add,IFF
2026-01-07,sp500,add,TJX
2026-01-07,sp500,add,ODFL
2026-01-07,sp500,add,MCD
2026-01-07,sp500,add,GE
2026-01-07,sp500,add,MMC
2026-01-07,sp500,add,MA
2026-01-07,sp500,add,EQR
2026-01-07,sp500,add,PTC
2026-01-07,sp500,add,MLM
2026-01-07,sp500,add,CHRW
2026-01-07,sp500,add,CRWD
2026-01-07,sp500,add,VICI
2026-01-07,sp500,add,VTR
2026-01-07,sp500,add,AON
2026-01-07,sp500,add,DUK
2026-01-07,sp500,add,WFC
2026-01-07,sp500,add,TDG
2026-01-07,sp500,add,AXON
2026-01-07,sp500,add,KEY
2026-01-07,sp500,add,AVB
2026-01-07,sp500,add,CLX
2026-01-07,sp500,add,AMZN
2026-01-07,sp500,add,LW
2026-01-07,sp500,add,TT
2026-01-07,sp500,add,TRV
2026-01-07,sp500,add,GOOGL
2026-01-07,sp500,add,WST
2026-01-07,sp500,add,OXY
2026-01-07,sp500,add,NRG
2026-01-07,sp500,add,UNH
2026-01-07,sp500,add,CBOE
2026-01-07,sp500,add,TPL
2026-01-07,sp500,add,FAST
2026-01-07,sp500,add,BA
2026-01-07,sp500,add,GPN
2026-01-07,sp500,add,AFL
2026-01-07,sp500,add,NEE
2026-01-07,sp500,add,POOL
2026-01-07,sp500,add,CTVA
2026-01-07,sp500,add,CINF
2026-01-07,sp500,add,PKG
2026-01-07,sp500,add,PEP
2026-01-07,sp500,add,NWSA
2026-01-07,sp500,add,FTNT
2026-01-07,sp500,add,MTCH
2026-01-07,sp500,add,ANET
2026-01-07,sp500,add,ZBH
2026-01-07,sp500,add,AVY
2026-01-07,sp500,add,J
2026-01-07,sp500,add,DAY
2026-01-07,sp500,add,ALB
2026-01-07,sp500,add,HUM
2026-01-07,sp500,add,APTV
2026-01-07,sp500,add,COST
2026-01-07,sp500,add,MTD
2026-01-07,sp500,add,IP
2026-01-07,sp500,add,CAH
2026-01-07,sp500,add,SNDK
2026-01-07,sp500,add,CCI
2026-01-07,sp500,add,APH
2026-01-07,sp500,add,KR
2026-01-07,sp500,add,COO
2026-01-07,sp500,add,TYL
2026-01-07,sp500,add,NVDA
2026-01-07,sp500,add,QCOM
2026-01-07,sp500,add,URI
2026-01-07,sp500,add,CMS
2026-01-07,sp500,add,HIG
2026-01-07,sp500,add,STZ
2026-01-07,sp500,add,CVX
2026-01-07,sp500,add,IBKR
2026-01-07,sp500,add,DASH
2026-01-07,sp500,add,PYPL
2026-01-07,sp500,add,NDAQ
2026-01-07,sp500,add,CL
2026-01-07,sp500,add,RCL
2026-01-07,sp500,add,SYY
2026-01-07,sp500,add,PGR
2026-01-07,sp500,add,DECK
2026-01-07,sp500,add,DELL
2026-01-07,sp500,add,DHR
2026-01-07,sp500,add,KLAC
2026-01-07,sp500,add,TGT
2026-01-07,sp500,add,TRGP
2026-01-07,sp500,add,ZBRA
2026-01-07,sp500,add,MET
2026-01-07,sp500,add,RF
2026-01-07,sp500,add,CNP
2026-01-07,sp500,add,EOG
2026-01-07,sp500,add,MSCI
2026-01-07,sp500,add,MRNA
2026-01-07,sp500,add,SYF
2026-01-07,sp500,add,IDXX
2026-01-07,sp500,add,HAS
2026-01-07,sp500,add,PANW
2026-01-07,sp500,add,CI
2026-01-07,sp500,add,PHM
2026-01-07,sp500,add,PEG
2026-01-07,sp500,add,BRK.B
2026-01-07,sp500,add,MU
2026-01-07,sp500,add,INCY
2026-01-07,sp500,add,DHI
2026-01-07,sp500,add,FOXA
2026-01-07,sp500,add,FDS
2026-01-07,sp500,add,FOX
2026-01-07,sp500,add,SBAC
