symbol,name,weight
AMG,Affiliated Managers Group Inc.,0.264051
AAL,American Airlines Group Inc.,0.261925
OGE,OGE Energy Corp.,0.261776
PRI,Primerica Inc.,0.261225
BTSG,BrightSpring Health Services Inc.,0.260654
GMED,Globus Medical Inc Class A,0.259935
SEIC,SEI Investments Company,0.259668
VMI,Valmont Industries Inc.,0.25677
ORI,Old Republic International Corporation,0.256398
MUSA,Murphy USA Inc.,0.255458
TTC,Toro Company,0.254658
OSK,Oshkosh Corp,0.254568
RRC,Range Resources Corporation,0.253699
TTEK,Tetra Tech Inc.,0.253031
COLB,Columbia Banking System Inc.,0.252714
CUBE,CubeSmart,0.250797
ONB,Old National Bancorp,0.249499
BAH,Booz Allen Hamilton Holding Corporation Class A,0.249452
AVTR,Avantor Inc.,0.249056
VOYA,Voya Financial Inc.,0.245799
BRX,Brixmor Property Group Inc.,0.245652
CNH,CNH Industrial NV,0.245439
CTRE,CareTrust REIT Inc.,0.244586
JEF,Jefferies Financial Group Inc.,0.240817
ADC,Agree Realty Corporation,0.23934
IDCC,InterDigital Inc.,0.237186
HQY,HealthEquity Inc,0.236262
RGEN,Repligen Corporation,0.236228
PB,Prosperity Bancshares Inc.(R),0.236122
KRYS,Krystal Biotech Inc.,0.234483
NNN,NNN REIT Inc.,0.2337
CNM,Core & Main Inc. Class A,0.231013
LAD,Lithia Motors Inc.,0.229929
TKR,Timken Company,0.225455
ATR,AptarGroup Inc.,0.225135
WAL,Western Alliance Bancorp,0.225095
ALV,Autoliv Inc.,0.224587
CRBG,Corebridge Financial Inc.,0.222824
FR,First Industrial Realty Trust Inc.,0.222571
KNSL,Kinsale Capital Group Inc.,0.221872
FCFS,FirstCash Holdings Inc.,0.221224
VNOM,Viper Energy Inc.,0.219332
CBSH,Commerce Bancshares Inc.,0.218199
REXR,Rexford Industrial Realty Inc.,0.216675
ACM,AECOM,0.2166
CART,Maplebear Inc.,0.214749
AXTA,Axalta Coating Systems Ltd.,0.213235
SSD,Simpson Manufacturing Co. Inc.,0.212879
MP,MP Materials Corp Class A,0.212228
CMC,Commercial Metals Company,0.212109
IDA,IDACORP Inc.,0.211007
THG,Hanover Insurance Group Inc.,0.210495
AVT,Avnet Inc.,0.209641
HXL,Hexcel Corporation,0.20962
NFG,National Fuel Gas Company,0.207902
SFM,Sprouts Farmers Market Inc.,0.207189
TEX,Terex Corporation,0.207131
CHRD,Chord Energy Corporation,0.206449
GME,GameStop Corp. Class A,0.205552
NOV,NOV Inc.,0.202602
UGI,UGI Corporation,0.202503
FAF,First American Financial Corporation,0.200987
AM,Antero Midstream Corp.,0.200218
ENS,EnerSys,0.200166
CAVA,CAVA Group Inc.,0.198959
H,Hyatt Hotels Corporation Class A,0.198301
KEX,Kirby Corporation,0.198042
NEU,NewMarket Corporation,0.196082
FLR,Fluor Corporation,0.195329
SLAB,Silicon Laboratories Inc.,0.192363
VLY,Valley National Bancorp,0.191018
CHE,Chemed Corporation,0.188888
ORA,Ormat Technologies Inc.,0.188323
STAG,STAG Industrial Inc.,0.187645
HLI,Houlihan Lokey Inc. Class A,0.186316
FNB,F.N.B. Corporation,0.185173
MSA,MSA Safety Inc.,0.183271
PATH,UiPath Inc. Class A,0.182594
HRB,H&R Block Inc.,0.182521
WFRD,Weatherford International plc,0.182055
CLF,Cleveland-Cliffs Inc,0.181267
UBSI,United Bankshares Inc.,0.180879
AMKR,Amkor Technology Inc.,0.179616
ST,Sensata Technologies Holding PLC,0.179541
HR,Healthcare Realty Trust Incorporated Class A,0.178132
WEX,WEX Inc.,0.177545
BROS,Dutch Bros Inc. Class A,0.177241
INGR,Ingredion Incorporated,0.17715
IESC,IES Holdings Inc.,0.177042
MTG,MGIC Investment Corporation,0.175982
LNTH,Lantheus Holdings Inc,0.175515
EXP,Eagle Materials Inc.,0.175029
QLYS,Qualys Inc.,0.174968
CROX,Crocs Inc.,0.174785
HWC,Hancock Whitney Corporation,0.172904
LSTR,Landstar System Inc.,0.17232
GBCI,Glacier Bancorp Inc.,0.171791
PCTY,Paylocity Holding Corp.,0.171734
BIO,Bio-Rad Laboratories Inc. Class A,0.171353
GATX,GATX Corporation,0.171245
BRKR,Bruker Corporation,0.171225
ESNT,Essent Group Ltd.,0.171203
FND,Floor & Decor Holdings Inc. Class A,0.169067
MTDR,Matador Resources Company,0.167358
LEA,Lear Corporation,0.167153
AVAV,AeroVironment Inc.,0.166032
CRUS,Cirrus Logic Inc.,0.164936
M,Macy's Inc.,0.164875
VNO,Vornado Realty Trust,0.164553
AGCO,AGCO Corporation,0.162626
CVLT,Commvault Systems Inc.,0.162025
PBF,PBF Energy Inc. Class A,0.16117
ULS,UL Solutions Inc. Class A,0.160946
CHDN,Churchill Downs Incorporated,0.160581
AAON,AAON Inc.,0.159406
RYN,Rayonier Inc.,0.159375
HIMS,Hims & Hers Health Inc. Class A,0.159311
SWX,Southwest Gas Holdings Inc.,0.159284
NOVT,Novanta Inc,0.158421
HOMB,Home BancShares Inc.,0.157015
POR,Portland General Electric Company,0.156873
RLI,RLI Corp.,0.156564
