symbol,name,weight
NVDA,NVIDIA CORP,7.777528
AAPL,APPLE INC,7.446442
MSFT,MICROSOFT CORP,5.714698
AMZN,AMAZON.COM INC,3.777991
GOOGL,ALPHABET INC CL A,3.118531
GOOG,ALPHABET INC CL C,2.487183
AVGO,BROADCOM INC,2.484413
META,META PLATFORMS INC CLASS A,2.224915
MU,MICRON TECHNOLOGY INC,1.586124
TSLA,TESLA INC,1.538231
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.436966
JPM,JPMORGAN CHASE + CO,1.427989
LLY,ELI LILLY + CO,1.370552
AMD,ADVANCED MICRO DEVICES,1.224575
XOM,EXXONMOBIL HOLDINGS CORP,1.041416
JNJ,JOHNSON + JOHNSON,0.975717
V,VISA INC CLASS A SHARES,0.947894
INTC,INTEL CORP,0.730514
WMT,WALMART INC,0.727786
MA,MASTERCARD INC   A,0.705355
ABBV,ABBVIE INC,0.703835
CSCO,CISCO SYSTEMS INC,0.661578
COST,COSTCO WHOLESALE CORP,0.620408
PLTR,PALANTIR TECHNOLOGIES INC A,0.605524
CVX,CHEVRON CORP,0.604443
BAC,BANK OF AMERICA CORP,0.590875
CAT,CATERPILLAR INC,0.549515
MRK,MERCK + CO. INC.,0.541379
UNH,UNITEDHEALTH GROUP INC,0.530047
KO,COCA COLA CO/THE,0.523325
LRCX,LAM RESEARCH CORP,0.520659
PG,PROCTER + GAMBLE CO/THE,0.51776
NFLX,NETFLIX INC,0.514611
AMAT,APPLIED MATERIALS INC,0.512528
GE,GENERAL ELECTRIC,0.504193
HD,HOME DEPOT INC,0.471132
PM,PHILIP MORRIS INTERNATIONAL,0.462114
PANW,PALO ALTO NETWORKS INC,0.461456
GS,GOLDMAN SACHS GROUP INC,0.44367
WFC,WELLS FARGO + CO,0.413051
RTX,RTX CORP,0.400418
MS,MORGAN STANLEY,0.376777
ORCL,ORACLE CORP,0.374104
TXN,TEXAS INSTRUMENTS INC,0.364886
CRWD,CROWDSTRIKE HOLDINGS INC   A,0.364745
GEV,GE VERNOVA INC,0.357928
IBM,INTL BUSINESS MACHINES CORP,0.356176
C,CITIGROUP INC,0.353382
SNDK,SANDISK CORP,0.349974
TMO,THERMO FISHER SCIENTIFIC INC,0.346784
KLAC,KLA CORP,0.336193
LIN,LINDE PLC,0.326665
VZ,VERIZON COMMUNICATIONS INC,0.325918
CRM,SALESFORCE INC,0.322918
AMGN,AMGEN INC,0.313434
ANET,ARISTA NETWORKS INC,0.295118
APH,AMPHENOL CORP CL A,0.294128
MRVL,MARVELL TECHNOLOGY INC,0.291451
QCOM,QUALCOMM INC,0.288928
DIS,WALT DISNEY CO/THE,0.286946
PEP,PEPSICO INC,0.283575
T,AT+T INC,0.280287
MCD,MCDONALD S CORP,0.278413
GILD,GILEAD SCIENCES INC,0.275049
STX,SEAGATE TECHNOLOGY HOLDINGS,0.274794
ABT,ABBOTT LABORATORIES,0.273258
ADI,ANALOG DEVICES INC,0.268209
SCHW,SCHWAB (CHARLES) CORP,0.266952
AXP,AMERICAN EXPRESS CO,0.265461
DE,DEERE + CO,0.260464
NEE,NEXTERA ENERGY INC,0.259034
UNP,UNION PACIFIC CORP,0.257551
COP,CONOCOPHILLIPS,0.25334
BA,BOEING CO/THE,0.25224
WELL,WELLTOWER INC,0.251561
PFE,PFIZER INC,0.240293
DELL,DELL TECHNOLOGIES  C,0.235131
BLK,BLACKROCK INC,0.234079
ETN,EATON CORP PLC,0.232307
UBER,UBER TECHNOLOGIES INC,0.224956
WDC,WESTERN DIGITAL CORP,0.223842
NOW,SERVICENOW INC,0.223337
TJX,TJX COMPANIES INC,0.211999
BKNG,BOOKING HOLDINGS INC,0.206747
ISRG,INTUITIVE SURGICAL INC,0.203567
VRTX,VERTEX PHARMACEUTICALS INC,0.20051
NEM,NEWMONT CORP,0.199791
BMY,BRISTOL MYERS SQUIBB CO,0.199058
PGR,PROGRESSIVE CORP,0.19639
COF,CAPITAL ONE FINANCIAL CORP,0.195669
PLD,PROLOGIS INC,0.194916
DHR,DANAHER CORP,0.194693
-,US DOLLAR,0.19449
SPGI,S+P GLOBAL INC,0.192974
CB,CHUBB LTD,0.187507
CVS,CVS HEALTH CORP,0.185388
MDT,MEDTRONIC PLC,0.183117
ACN,ACCENTURE PLC CL A,0.182022
PH,PARKER HANNIFIN CORP,0.178097
MO,ALTRIA GROUP INC,0.176456
MPC,MARATHON PETROLEUM CORP,0.175954
VLO,VALERO ENERGY CORP,0.172863
SBUX,STARBUCKS CORP,0.171694
GLW,CORNING INC,0.17103
LOW,LOWE S COS INC,0.16877
ADP,AUTOMATIC DATA PROCESSING,0.168129
MCK,MCKESSON CORP,0.166546
BNY,BANK OF NEW YORK MELLON CORP,0.164538
LMT,LOCKHEED MARTIN CORP,0.163432
ADBE,ADOBE INC,0.163209
FTNT,FORTINET INC,0.161099
PSX,PHILLIPS 66,0.157035
CME,CME GROUP INC,0.154482
FCX,FREEPORT MCMORAN INC,0.151887
EQIX,EQUINIX INC,0.149938
SO,SOUTHERN CO/THE,0.149106
PNC,PNC FINANCIAL SERVICES GROUP,0.148191
USB,US BANCORP,0.14792
SYK,STRYKER CORP,0.147875
BX,BLACKSTONE INC,0.144899
TT,TRANE TECHNOLOGIES PLC,0.14316
INTU,INTUIT INC,0.142906
PWR,QUANTA SERVICES INC,0.141904
DUK,DUKE ENERGY CORP,0.141046
ELV,ELEVANCE HEALTH INC,0.140385
VRT,VERTIV HOLDINGS CO A,0.138861
CSX,CSX CORP,0.138482
HWM,HOWMET AEROSPACE INC,0.138178
GD,GENERAL DYNAMICS CORP,0.137995
HOOD,ROBINHOOD MARKETS INC   A,0.137503
APP,APPLOVIN CORP CLASS A,0.137025
ICE,INTERCONTINENTAL EXCHANGE IN,0.13594
CMCSA,COMCAST CORP CLASS A,0.135068
WMB,WILLIAMS COS INC,0.133851
MRSH,MARSH + MCLENNAN COS,0.132455
TMUS,T MOBILE US INC,0.129698
CEG,CONSTELLATION ENERGY,0.128868
MMM,3M CO,0.128758
JCI,JOHNSON CONTROLS INTERNATION,0.128074
EMR,EMERSON ELECTRIC CO,0.126576
AMT,AMERICAN TOWER CORP,0.12561
WM,WASTE MANAGEMENT INC,0.122771
TRV,TRAVELERS COS INC/THE,0.122485
MDLZ,MONDELEZ INTERNATIONAL INC A,0.121715
SLB,SLB LTD,0.121465
REGN,REGENERON PHARMACEUTICALS,0.120858
EOG,EOG RESOURCES INC,0.120558
MSI,MOTOROLA SOLUTIONS INC,0.119887
GM,GENERAL MOTORS CO,0.119752
DASH,DOORDASH INC   A,0.117361
CDNS,CADENCE DESIGN SYS INC,0.117285
CI,THE CIGNA GROUP,0.116905
UPS,UNITED PARCEL SERVICE CL B,0.116562
DDOG,DATADOG INC   CLASS A,0.115973
CMI,CUMMINS INC,0.113772
MAR,MARRIOTT INTERNATIONAL  CL A,0.113544
SHW,SHERWIN WILLIAMS CO/THE,0.113416
ROST,ROSS STORES INC,0.112926
HPE,HEWLETT PACKARD ENTERPRISE,0.111991
SNPS,SYNOPSYS INC,0.111335
ORLY,O REILLY AUTOMOTIVE INC,0.110134
TGT,TARGET CORP,0.109629
MCO,MOODY S CORP,0.10941
NSC,NORFOLK SOUTHERN CORP,0.109269
ABNB,AIRBNB INC CLASS A,0.108669
HLT,HILTON WORLDWIDE HOLDINGS IN,0.107742
KKR,KKR + CO INC,0.10774
ITW,ILLINOIS TOOL WORKS,0.107333
NOC,NORTHROP GRUMMAN CORP,0.107273
CL,COLGATE PALMOLIVE CO,0.107165
WBD,WARNER BROS DISCOVERY INC,0.106117
ECL,ECOLAB INC,0.106058
FDX,FEDEX CORP,0.104544
CTAS,CINTAS CORP,0.103802
BSX,BOSTON SCIENTIFIC CORP,0.102028
AON,AON PLC CLASS A,0.101392
ALL,ALLSTATE CORP,0.101382
AEP,AMERICAN ELECTRIC POWER,0.101334
SPG,SIMON PROPERTY GROUP INC,0.10128
HCA,HCA HEALTHCARE INC,0.100678
AJG,ARTHUR J GALLAGHER + CO,0.099158
LITE,LUMENTUM HOLDINGS INC,0.098982
PCAR,PACCAR INC,0.098524
APD,AIR PRODUCTS + CHEMICALS INC,0.097458
HON,HONEYWELL INTERNATIONAL INC,0.09722
RCL,ROYAL CARIBBEAN CRUISES LTD,0.097062
COR,CENCORA INC,0.096722
MNST,MONSTER BEVERAGE CORP,0.096117
TFC,TRUIST FINANCIAL CORP,0.09511
URI,UNITED RENTALS INC,0.094837
TDG,TRANSDIGM GROUP INC,0.094666
DLR,DIGITAL REALTY TRUST INC,0.094226
TRGP,TARGA RESOURCES CORP,0.093939
OKE,ONEOK INC,0.09309
KMI,KINDER MORGAN INC,0.092362
CRH,CRH PLC,0.090594
TEL,TE CONNECTIVITY PLC,0.090451
APO,APOLLO GLOBAL MANAGEMENT INC,0.090169
NUE,NUCOR CORP,0.088363
DVN,DEVON ENERGY CORP,0.086549
FAST,FASTENAL CO,0.086484
D,DOMINION ENERGY INC,0.086385
NXPI,NXP SEMICONDUCTORS NV,0.086277
BKR,BAKER HUGHES CO,0.085846
MPWR,MONOLITHIC POWER SYSTEMS INC,0.085535
FIX,COMFORT SYSTEMS USA INC,0.084707
GWW,WW GRAINGER INC,0.084532
O,REALTY INCOME CORP,0.084213
CTVA,CORTEVA INC,0.084121
CAH,CARDINAL HEALTH INC,0.083831
SRE,SEMPRA,0.082665
F,FORD MOTOR CO,0.082657
KEYS,KEYSIGHT TECHNOLOGIES IN,0.082109
AFL,AFLAC INC,0.081668
AME,AMETEK INC,0.081487
MET,METLIFE INC,0.0805
COHR,COHERENT CORP,0.079434
DAL,DELTA AIR LINES INC,0.079373
STT,STATE STREET CORP,0.079344
HONA,HONEYWELL AEROSPACE INC,0.079213
MRNA,MODERNA INC,0.078941
TER,TERADYNE INC,0.078496
CVNA,CARVANA CO,0.077349
BDX,BECTON DICKINSON AND CO,0.0768
AMP,AMERIPRISE FINANCIAL INC,0.076503
EW,EDWARDS LIFESCIENCES CORP,0.075035
FITB,FIFTH THIRD BANCORP,0.074916
PSA,PUBLIC STORAGE,0.074724
HUM,HUMANA INC,0.074479
AZO,AUTOZONE INC,0.074407
EBAY,EBAY INC,0.073733
ADSK,AUTODESK INC,0.073647
VMRK,VIVMARK RESIDENTIAL,0.073578
PYPL,PAYPAL HOLDINGS INC,0.07262
CMG,CHIPOTLE MEXICAN GRILL INC,0.072375
ETR,ENTERGY CORP,0.072306
WAB,WABTEC CORP,0.071974
ROK,ROCKWELL AUTOMATION INC,0.070998
LHX,L3HARRIS TECHNOLOGIES INC,0.070664
XEL,XCEL ENERGY INC,0.069982
GRMN,GARMIN LTD,0.06979
RSG,REPUBLIC SERVICES INC,0.068821
CIEN,CIENA CORP,0.068712
OXY,OCCIDENTAL PETROLEUM CORP,0.068353
CARR,CARRIER GLOBAL CORP,0.068117
VST,VISTRA CORP,0.06797
NKE,NIKE INC  CL B,0.067718
IQV,IQVIA HOLDINGS INC,0.06757
EXC,EXELON CORP,0.066606
VTR,VENTAS INC,0.066009
KDP,KEURIG DR PEPPER INC,0.06547
FERG,FERGUSON ENTERPRISES INC,0.065345
COIN,COINBASE GLOBAL INC  CLASS A,0.064887
XYZ,BLOCK INC,0.064823
ADM,ARCHER DANIELS MIDLAND CO,0.063474
A,AGILENT TECHNOLOGIES INC,0.063218
PRU,PRUDENTIAL FINANCIAL INC,0.063182
CBRE,CBRE GROUP INC   A,0.062869
NDAQ,NASDAQ INC,0.062339
AIG,AMERICAN INTERNATIONAL GROUP,0.061632
IBKR,INTERACTIVE BROKERS GRO CL A,0.061599
YUM,YUM  BRANDS INC,0.061459
MSCI,MSCI INC,0.061406
WAT,WATERS CORP,0.061262
IDXX,IDEXX LABORATORIES INC,0.06126
SYY,SYSCO CORP,0.060868
FANG,DIAMONDBACK ENERGY INC,0.060837
VEEV,VEEVA SYSTEMS INC CLASS A,0.060778
FLEX,FLEX LTD,0.060684
